Emotion,Text
Joy,"Meh... Started drunk texting... Time to turn the phone off. Hasta mañana, work at 9am. #LoveYall"
Sadness,Hold up! Did I really miss Robyn on  ?! I'll be in the corner crying
Sadness,NOOOOO I WAS SUPPOSED TO SEND THE LETTERS ON FRIDAY. NOOOOOOOOOOOOOOOOOOOOO 
Joy,"He pressed himself back once more against the wall , panting with excitement . "
Disgust,people with trashy tattoos me seriously that has no meaning?
Surprise,En daar rolt alweer een i-Pad van de band #0512
Surprise,@fatinsyx you must have had fill yrself with food.! Okay so gd night if ya . still haven't tell. Right or Left  side?  ?
Joy,"Horrible mood, about to be a horrible day "
Sadness,I dreamt of my father's death while I was at secondary school.  I was screaming at the top of my voice and was woken up by my friend.  That day I was really sad.
Surprise,"@CoachCaudillA when I saw my tweet was retweeted, I did not expect it to be you. So you get a special S/O for being unexpected. "
Fear,“@j_balla: trying a tuna fish sandwich” #bitchquitplayin tuna sandwiches slapppp
Joy, Yes.You look very smart today . 
Joy,20 min class? Professor Musta known I was up till 4 AM. Thanks! 
Sadness,Getting ready for the last show at The Mad Hatter. 
Sadness,one test left at 8am tomorrow and then goodbye mankato forever :'( 
Sadness,Losing a match at the last second after you scored the 4-4 two minutes before #calcetto
Surprise,Just heard Pat Hill is out as FresnoSt HC. 
Joy,Oh and to make my day even better I have double maths 
Disgust,`` I am outraged and revolted by the decision of my supervisors .
Sadness, Nothing . I just feel very lonely in this city . I miss my family . 
Fear,A helpline has been set up for anxious parents . 
Surprise,That awkward moment when I typed @robsenecal s number in wrong and sent a picture of my goatee to some random number 
Anger,At a certain situation I felt myself neglected and undeservedly harmed.
Fear,"Our , most of our rules and most of our laws are made by people who are frightened of losing their property , and not the sort of people who are frightened of being mugged at night . "
Sadness,But it was the scene of my first heartbreak . 
Neutral," I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere . "
Joy, Of course . But I'm afraid I'm not much of a dancer ... 
Fear,is nothing else than perverted #faith. Your ability to Fear is a proof of your ability to #believe.
Joy,"today i played guitar atop a 3rd story fire escape, worked with some real wonderful people &amp; got blindsided by a new favorite movie. "
Sadness,Don't you love the feeling you get when you realize you lost a follower on twitter! 
Neutral, 150 pounds . 
Joy,"Lord, thank you for  #love #Joy #contentment #humility #family #friends and the list goes on! Be #thankful for #life today!"
Anger,hahaha just broke 4 picks from playing so hard school concertt.
Disgust,Raphael admitted on instagram he ate a whole box of chocolate today. What a sicko. #perversion #selfloathing
Fear,@RyanSchellShock They'll? Jeez I thought I was only being sent one I'm either the luckiest or unluckiest guy ever 
Surprise,"@linseykeijzer schat jou ketting licht nog hier, mag ik die straks om ?"
Surprise,"@nzdrug Hey man, have you seen the new norml.org.nz, forum has gone thank god.  I actually got more abuse than you bud!! "
Neutral, What is it ? 
Neutral, Certainly . 
Sadness,"A black-haired woman with a long , sad face was inside . "
Fear,"Now Mr Rifkind has written to the BSC chairman , Sir Robert Scholey , asking for further assurances after meeting anxious union leaders . "
Joy,After 2o'clock tweets like shitting in pot.. Nobody care what crap u slipping.. 
Fear,"In the thirtieth minute , Gary Weaving scored what looked like a perfectly good goal , only for the linesman to rule it out for offside , to everyone 's dismay . "
Joy,Celebrate Life  this is your one chance Give the  of    &amp; 
Sadness,That concern turned to heartbreak when they heard of his mother 's grim fate . 
Anger,"The sources said he is infuriated with her after a row that erupted last week , and is likely to distance himself from her . "
Surprise,@thematthewhuff @bowman_baker Clear your schedule on 12•12•12 and pack our bags for Fiji. Lol 
Sadness,@conMEEKS not long to go (T_T) swinging by tonite to say bye~ 
Joy,"@mareekayy haha your text that said &quot;Yup&quot; ? and so do i, going w/ yulia bc we have to take a psych test at like 6:15 "
Anger,"Residential workers are faced with youngsters who are not only anxious and resentful about family events , but may also be mistrustful of those who try to help them . "
Neutral, Oh . 
Fear,A Fear of lack of personal powers.
Joy," I would love to be surrounded by hills and streams . They ’ re so much better to look at than concrete , rows of parked cars and tall buildings . "
Anger,"Two could play the same game , and the Russian was now riled . "
Joy,"I felt happy at the settlement of our marriage, even though we are from different sociolinguistic backgrounds our parents agreed to the wedding without any conflict or discussion.  We had  thought that they would object to the wedding but it did not happen. "
Joy,I wish I could describe in words how you make me feel Lord.. 
Disgust,Colette works at marshalling our feelings of revulsion at this voracious creature who has almost killed the poor box thorn . 
Fear,“@KurtSchlichter: How about some napalm? MT @keder: Re Newt's answer on Palestine.  @newtgingrich don't be afraid of the truth
Sadness,I'm sitting in my car in my driveway jamming by myself .. Bc I have no friends. 
Sadness,I want to meet people from LOST but I probably never will. 
Sadness," Sorry , sir . The prices here are all fixed . "
Surprise,@reidov @rcmacklon .......OH WAIT. #shocking #littledidyouknow...that hash tag is incorrect
Joy,"Well, the hell of hell week is over.  And I just had my first chai latte of the fall.  Annddddd I finally have time to sleep! "
Joy,"Though relieved , and fiercely delighted that she had apparently stopped him in his tracks , Polly was apprehensive about going back up on deck . "
Joy," that though I will be disappointed by many throughout my lifetime, Christ is always faithful &amp; always keeps his promises! "
Joy,Today is @missionpie pick up day! So absurdly exciting about their pear-raspberry crumb top pie! I think I'm in love...  
Joy,"When I began dansing, the teacher came and told me that I was very good and would soon get into the ballet academy. "
Sadness,Not feeling much better today but I have to try and pull it together for work.....not even moving yet..... 
Anger, I'm about to explode ! You ’ Ve made a mess of this matter . 
Sadness,Awee . @Porter_Str8Cash ustreams when my computer speakers don't work &amp; my phone is being stupid ); Now iCan't watchh ! 
Sadness,When my girlfriend was afraid and anxious the day before taking her exam.
Sadness,@alexawhipple Totally!! lol anyway i'll text you on Wednesday cause i got my phone takin away :( &amp;hearts pee stain :)
Sadness,@teamdameronn you lucky duck!!! i live in michigan. where NO ONE comes. 
Anger, when people chew their food obnoxiously loud!!!  
Sadness,That sad moment when i don't know that she lied to me. :( 
Anger,Took another quiz! who does that during break?! they're such a drag -__- is my best motivation
Anger,"The doctors from Belogradchik town determined a wrong diagnosis to my son. A month later, after some complex examinations at ISUL (A medical institute in Sofia), the diagnosis was categorically rejected."
Neutral," Sorry , here . "
Surprise,@jessebarrera lol!! P.S. I'm posting a vocal reel on youtube. Like more than half were produced by you. 
Neutral, Sure . 
Surprise,Lol of course I will drive you. R T @johnhath: @Vilma_Rodrigues coo. I'll head over. Ur driving btw 
Sadness,I don't like being alone.. because when I am alone I have time to think.. and then I get upset. 
Surprise,Step dad just brought home a 64&quot; 3D TV. 
Joy,"Meet in a place that's an Eternal Radiant State of Mind, where heavens meet in silent harmony-feel/sense the Joyful calm.  "
Anger,"I was mad about her being killed , mad at whoever killed her . "
Sadness,is this really how im spending my first night of Thanksgiving Break?   
Fear,"@OMcGee82 I felt fine this morning, blatantly due to still being pissed, then my condition rapidly deteriorated.  "
Fear,"Some individuals become excessively nervous about visiting the vet , for example , and it is a good idea to begin visits early in the dog 's life . "
Neutral, Now . 
Neutral, Tomorrow . 
Anger,When I was Little I had Problems Bad as Hell lol I grew outta that shit doe..Until I get #Pissed Off fareal
Anger, You should feel Shameful for your behavior . 
Joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow 
Anger,Deal or No Deal is fucking wank. Such a shit and pointless program. Why the fuck is it even there!?!?!? 
Neutral, I also want to check out this video . 
Joy,I figured out something very complicated for me in illustrator and I just had to tweet about it! 
Surprise,Some days you turn up to a gig to find its a double headliner with another band you like. #win
Surprise,"Thanks @yoyoitshanna, @goshdasha, and many others for the incredible #birthday party!!!!  Best birthday yet!! &lt;3 you all!"
Anger,"` He deserves a proper thrashing , "" Cissie protested , fiercely indignant that she had been unable to defend herself while her cowardly brother took delight in whipping her . "
Neutral, How ’ s your son these days ? 
Sadness,Depressione post-tour. Dopo una decina di date in un anno. :(
Neutral, Why ? 
Joy,"But now he has made a full recovery to the delight of his proud parents , Fred and Denise . "
Sadness,"Not going to lie, @Mmoreno34 made my stomach hurt all day! "
Neutral, April fool ! 
Sadness,I used to be so much more clever and witty. Now I am crabby and boring. 
Disgust,@HeyItsSam1 I dont know why.. but i hate Jessie J! y cuando la comparan con Gaga ¬¬ 
Anger,fucking doctors fucking kidneys fucking 9am lecture ahhh 
Surprise,Nog even snel leren en dan klaarmaken en dan naar dansen 
Sadness,Currently dealing with second worst haircut of my adult life. The first was the haircut I walked into this place to fix. 
Sadness," Well , I'm leaving Japan and I'm going back to London , tomorrow . "
Joy,time to get started on this English paper. 
Sadness,"Awe, I'm missing the Swag Master. :( "
Joy, this so isn't fun. it's pouring outside and i need to wake up in about 6 hours. 
Joy,Love is the highest vibration in the Universe. It sends shivers of up my spine! #Quote for #love #peace and #Joy
Fear,i can't stand telling a guy with three word 'i like you'.. scared of the reaction 
Sadness,for @EricGreen4 to fall back asleep on me! :/ 
Sadness, I didn't pass the English exam . How to learn English well ? Can you give me some suggestions ? 
Neutral, You will . 
Sadness,My lil brother just called my hubby a &quot;dirty red head&quot;... 
Surprise,"Je ne vous ai pas dit, @CeliaRoot  vient chez moi ce week-end, je vais faire une pâtisserie, un truc qu'elle aime... "
Surprise,@RachelllWhiteee we are meeting @ThisisBonardi at his house later tonight to Surprise him. 
Sadness,So today was my last Christmas play I'll ever have at my school. 
Fear,"` And I 'm frightened that if I go down to the cellars I might die . "" "
Joy,Left my fav pair or jeans at Purdue....... Seriously..... Looks like Ill need to drive up there... 
Anger,When my tennis match was interrupted because a kid cycled right into the court.
Fear,Jesus the reality of today's times& 
Joy,Orthodontist apt. today. 
Surprise,My Dad gives pretty good dating/boy advice. 
Fear,I went to the apartment of my boyfriend and saw some people before his door. I thought that something had happened.
Joy,I finally got @onedirection's new album #Joy #awesomeness..oh my God I'm in love with a boyband #ohthedeard
Joy,Gym done. Uni this afternoon. Then another night of working. 
Joy,ready to get this final over with. one down today. another tomorrow. &amp;the last on monday. 
Sadness,When I was ditched by my girlfriend.
Joy,&quot;Is our exam 2 hours or 3?&quot; Surprise 4 hour case exam #UWOProblems
Surprise,Heb tenslotte nog tot zondag om mijn af te maken #Sinterklaas
Joy,"Loading up the cars with booze for the night @Leknights , unfortunately callum ant and alex left us alone in a dark carpark. "
Sadness, No can do ... sorry . 
Surprise,Sunderland Manager Steve Bruce's been sacked! 
Anger,Sometime back another girl who was in terms with my ex-boyfriend came to shout at me at twelve midnight. It was because she thought I was still interested in the boy.
Joy, Thanks a lot . 
Joy,Returning to school and rejoining my girlfriend after 3 months of separation from summer.
Joy,Santa comes in t minus 24 days 
Sadness,"Twitter, is it wrong to feel  for special friends that I can never revive.   #tears etc..."
Sadness,@emmafmurphy & know! Am well jelly haven't been drinking in too too long :( Can't wait for  Exams are shit 
Fear,I have two finals this week and one oral presentation and I'm not ready for any of them ! 
Joy,Pumped for rehearsal of our fabulous Holiday Pageant performance &quot;Christmas is For Everyone&quot; next Saturday 12/16 in Chelsea @orencecaro 
Anger,"` I 'm so Anger our little boy is dead because someone wanted to drive fast . "" "
Joy,"well enJoyed Class Actress, now waiting to see @PEACE4EVEREVER whose set is so far running an hour and a half late..."
Sadness,I was watching television. It was about midnight when a very dear friend called saying that his father had died in an accident.
Surprise,@vanka472 Uthappam! You're killing me. Side note: I can't believe I remember what that is called/how it's spelled. 
Neutral, But they aren't very fashionable . What about these ? 
Sadness,Who knew hanging Christmas lights outside could be so time consuming and exhausting? I'm not even finished yet 
Sadness," Well . It's not all my fault , Anna ... "
Joy," Oh , Penny , I'm Leonard , glad to meet you . "
Fear,if your heart is filled with faith then you cant let go an let #God deal with it!
Joy,Showered and back in my pjs for a day of revision and cramming!!!!!! 
Joy,My busy day is getting quieter and quieter! Two out of three clients now cancelled... We'll see if the other turns up! 
Sadness,Chuck just filmed their final episode. :( 
Joy,i think i'll make a rice pudding too   with jam :)
Fear,We are very concerned to learn of any shortfall in standards and this is why we want to hear from you if you encounter any problems . 
Fear,will cause you to lose before you even try while #Courage gives you the will to win without knowing the outcome
Surprise,"Curling my hair, actually looks good. "
Surprise,I don't think I have a type anymore. Apart from white. 
Fear,That Feeling When You Hear An Airplane Descending...&amp;&amp; You Think It's Comin Toward You 
Fear,Fear of public speaking is greater than death. I'd rather present my presentation over death personally. What about you?  #speech
Anger,My employer took too many aspirins for a bad back and also drank an enormous amount of spirit.  This was dAngerous  and he did not understand that he had done anything wrong.
Surprise,I love Surprise bday parties! Doing last minute stuff before the birthday boy gets here. 
Joy,"went to sleep feeling like shit, woke up feeling like shit "
Sadness,When I was told that a good friend was seriously ill.
Joy,There's a show on Nat Geo called Alaskan State Troopers. It'll be a 3 episode season of snow and Moose sightings. 
Joy,So happy I get the day off tomorrow!   
Joy,"Studying exercise for kids, elderly, and pregnant women for the next 10 hours... "
Joy,"Joy Is The Best Name,,. So Simple So Pretty "
Joy,Weight training tomorrow . .
Neutral, See you . 
Sadness,"It was a pretty despondent group that sat around the fire of the LRDG patrol , each sunk in his own thoughts . "
Joy,Dad's blaring christmas music in the car....
Joy,finally finished my unit 3 work! hurray! 
Sadness,i hate making a new tumblr and forgetting all the good blogs i followed before. 
Fear,"If I'm making a mistake, well I hope I'm not. #SecondThoughts"
Joy,Finally going to take a nice long shower. Ahh. 
Joy,Long weekend ahead. 
Fear,Habiter à 2 pas du CELSA Équivaut à une immersion dans un blog mode tous les matins ! 
Sadness,@mad_kat1000 I'm glad you can tweet but not text back. 
Neutral, I usually ride my bike . Which form of transport do you prefer to use ? 
Surprise,"woohoo I got Ed Sheeran's album, Motion In The Ocean, a magazine with a 1D poster in it and a 'chocolate letter' :)  "
Neutral, No . 
Joy,Being asked to go out by someone I care. 
Anger,When a boy who was drunk came into my room and misbehaved in the presence of my boyfriend.
Joy,Just picked up new car  started of bad as was stuck in Bristol fartherinlaw as he got a blow out on way back with no locking nut 
Surprise,Just spent $100 in gift baskets for my parents and grandparents. 
Fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
Fear,Do people really stay faithful in long distance relationships ? 
Sadness,He collapsed in a coma at a London club and died hours later in hospital from massive internal bleeding  in front of his devastated mum and dad . 
Disgust,&quot;Disgust and  are two of the great  that lead to change.&quot; ~ Jim Rohn   #philosophy
Neutral, Do people get married young ? 
Joy,Wow ! Well done little mix love their version of cannonball ! Xmas no 1 :) ! Now for present wrapping !! Haha xxx
Joy,BBC2 - 100 Years Of The Palladium on now. I have to go to sleeping area 2. It'll be on when I get back. 
Sadness,"Father said : ` We are devastated , but we intend to restore the church to its former glory . "
Surprise,I WANT A NIGGA FOR XMAS WRAPED IN A GIFT BAG 
Fear,The Repton boy 's horror at Churchill 's anti-Bolshevist campaign had turned into a more adult and less ferocious criticism . 
Disgust, was 9 for 20 and no passing tds. How does that encourage his rabid cult following? 
Joy,Lange dag op school en nu lange training. 
Joy,With Jon going to Korea I am officially going to be an only child over the summer. 
Joy,Love starting off my mornings seeing the one person I'd love to just put through a wall if I could. 
Joy,During my high school time I succeeded to play a concert of Mozart on the piano when I gave my first performance I succeeded to play it very well.
Joy,@matt_j_little Good luck!  I have the wonders of the Law of Evidence tomorrow afternoon 
Surprise,words cannot describe how much i hate my media techniques and the wish 
Joy,"It might rain at  today, but I don't care. It's time to ride some rides! #holidayinthepark"
Surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
Joy,Tired and hungry but finallllly getting my bangs cut (by a professional) 
Surprise,"And all my friends are busy to come to the group photo, I am glad that my real graduation is still in   "
Fear,Going to the exam not well prepared.
Joy,flying away next week and copped a cold. :(
Anger,"Sometimes when I go to work my crazy boss (a hyper Jewish lawyer) insists I do things his way (filing, typing, etc.). He sometimes blames me for things I didn't do, and I can't yell back at him."
Anger,Insulted by the class leader.
Surprise,"@ STRESS.. Tfoe man voor die dikkeOutist ooknog pokemon/spiderman&amp;Cars iets uitzoeken Argg, "
Sadness,"Min tey lesa tweets di mas cu un ora bieuw, paso un par di hnd ta pp di  y min wake e episode ainda, "
Disgust,I'm honesty aShamed to be living in the same state as Penn State. I can't even imagine being a student there expect respect 
Fear,"I've only had that feeling once, im scared ill never feel that way again "
Surprise,Suddenly came up with a crazy but exciting plan. Can't wait!  
Neutral, From China . 
Anger,"I confronted with this feeling at the Institute quite recently, the pedology lecturer was the cause."
Anger," Make it work , Geoff . You would say that , wouldn ’ t you , he is your cousin.what a jerk , make me hire your stupid , useless , cousin . "
Fear,Blanche was disquieted but not sure why . 
Sadness,Great end to Xavier &amp; Cincinnati game. NOOOOOTT!!! 
Fear,I walk downstairs at Tri County and i look down and i see this spider as big as a quarter !! I freaked out and ran upstairs for sure ! 
Joy, and teach  your holiday should be filled with and cheer
Surprise,Yayay so glad you like it!! LOVE YOU RT @DBenningfield21: Sick study package! Thanks @morg_wray! I love you #bestgirlfriendever
Sadness,Unfortunately uploading all those pics (approx. 250) has exhausted my monthly cap! 
Anger,Funny how DJ's don't tweet back to us .. while without us .. they won't worth a thing :D HAHA .. #FeelsPower
Joy,Driving to chapel hill. 
Joy," I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff . "
Fear,Nervous for my presentation in 2 hours. of public speaking
Sadness,As a child - having a dog - it getting a disease and dying.
Fear,"One night at three o'clock I was followed by a driver, who tried to molest me."
Joy,First day of work tomorrow.. 
Joy,@My_NonExistence It wasnt a comeback it was a fact :) Im proud of you celly
Fear,Raised hell &amp; got 1 in about an hr. Makes you wonder what the hell is going to happen when the Tories have their way with the NHS 
Anger,My family is at a spa in Arizona and I'm in my cube staring at excel  
Neutral, All right . 
Joy,At the airport getting ready to head back home. This has been an amazing weekend. I have the world's best best friend. 
Sadness,When my grandmother died. I had lived with her for ten years.
Joy,caribbean jerk brown rice 
Surprise,Zo de kado's gekocht voor het  van @cafedetoeter nu nog maken en #gedicht schrijven.
Joy,"In unaShamed tears on the bus at the news that my nephew, Sam, arrived safe and sound half an hour ago. "
Joy,30 days till Christmas!              #GodsLove x
Neutral, No one . 
Anger, talk you up and down the wall about screwing and then freeze up when the moment comes. 
Neutral, Hi . 
Anger,"Now it was the Young King who drew back and , doubtless to their father 's immense exasperation , refused to accept Richard 's homage . "
Joy,Yay! There's a new teen mom but with the same moms from last season. haha
Fear,"He had taken an interest in the growing baby , and had become anxious about Jane 's health and safety , the way expectant fathers were supposed to . "
Anger,"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . "
Sadness,Gotta get on this early flight back to GA tomorrow. at least I'll be back home in a couple of weeks for a real break
Fear,The Day Where There's No Shelter &amp; Deeds Are Ya Only Helper!    
Joy,A day full of homework!! 
Anger,My bicycle was demolished.
Disgust,"Please, PLEASE do not chew gum while you're teaching. I'm literally about to be sick.  "
Fear,There was one other horrified observer of the scene . 
Joy,I get to work on ceramics all day. this thanksgiving break won't be much of a break at all.
Joy,Watching rough cut of pilot with @allen_mclain. @OttaviaBourdain is on speaker. 
Fear,@TRobertson7 I don't like this I'm nervous to stumble I feel like everyone can see me 
Joy,When my little sister was born.
Surprise,My sister jus rolled up in a brand new Infiniti lol #ballsohard
Anger,I felt it when a girl who was dear to me lied to my face. I got Anger with the fact that she knew I didn't believe her but she kept on telling lies.
Sadness,For not having succeded in getting the job as a translator that I wanted.
Joy,"Me:*on the bed, hiding under the blanket, and eating a big box of Nerds* "
Anger,&quot;@hartramsey: RESENTMENT is that's stored in the heart 4 so long it exceeds its shelf life &amp; grows a bitter root called SPITE.&quot;
Joy,@JackWilshere ..Hey I am no arsenal fan but I have missed u playing..Get well soon..to watch
Sadness,my dad's butchering my christmas tree. 
Joy,Singing Christmas carols in Spanish.  
Joy,Last night free... Work the next 3 days $$$$$$$$$
Joy,Just another day in American Wars... Visual Learning Experience. 
Anger,I felt Anger against a person who told bad things about me in my absence.
Joy,"Audiences were thrilled , box office cash registers jingled and careers were made . "
Sadness,I'm terrible sorry . I seem to have mislaid your MP4 . 
Surprise,@VenusIsNaive c'était un tweet borderline un peu mais j'attend l'image 
Surprise,Another player from the SEC wins the defensive player of year award. #shocker #dominance #LSU
Joy,"Oh, I love Christmas time! In Beverly hills everything is decorative and Xmas music is playing! "
Fear,What a contrast with the rattled and untrustworthy gamblers at Number 10 and Number 11 Downing Street . 
Joy,@_EpicL0VE That and to press my follow button so I can bring you &amp; #Laughter every twitter experience
Joy,There better be some of that beer left for Christmas morning. #MyNameIsEarl
Joy,Finishing work at 9pm after a tiring day and now I'm WIDE awake. 
Anger,"I was to meet a friend at the bus-stop (he was coming to visit us) and he did not turn up.  After having waited for him for some time     (about an hour) I called him up, to be told that he did not intend to come as he was feeling tired."
Anger,"His tone became more confident , slightly indignant . "
Fear,Courage is knowing what not to Fear. - Plato   
Surprise,Christmas shopping with the hubby in NYC~ Hoping to have all the kids together for the holidays this year!  #Curious
Fear,@RevRunWisdom  tells us that we've sacrificed more than others. tells us it's time 2 worry about the future. &#xA;&#xA;Luke 9:3
Joy,Santa brunch is almost here! Meet the big guy and have Chef Baru's cotton candy from 10-2. 
Fear,"that ain't how it works, that ain't how it goes, and i've been getting high just to balance out the lows "
Sadness,For the girl who halped me go on living and made me happy - when I don't see her even for two or three days.
Sadness,"I get all excited by these food advertisements, then I remember I'm giving up meat "
Joy,Entire day of dance round 2... 
Joy,Nothing lifts the soul like a school concert with some very special kids at a very special school. Well done all at Mater Dei. 
Joy,Off to take 3 kids to school half an hour early so 1 of them can go swimming and the other 2 can get cold and bored in the playground. 
Anger,I felt Anger when repeated pleas to the ticket collector and the co-passengers in order to make a queue fell on deaf ears.  I have this feeling whenever someone is not disciplined and methodic in doing his duty.
Joy,Having a REALLY wild night here in the condo. Sex and babies :)) @carmisacramento @kalals 
Joy,TRUE. Youre going to be all fat tomorrow RT @HanaBananaz: Gonna be in the library ALL fat tomorrow .____. 
Fear,When I learnt that the girl I had impregnated was in hospital and was on the verge of dying as she had refused to accept the responsibility of her pregnancy and had wanted to commit suicide.
Joy,"@amongsttheworld: If you're not happy single, you won't be happy taken.  #Godisgood"
Anger,"I learned that a class-mate had given a list, of peolpe who help each other in exams, to the professor."
Surprise,@teekayy -_______- I was saving the bunnies  for when they jump out your birthday cake. 
Surprise,My mother ask me was I coming home because she was having company I should bust right through the damn door 
Neutral," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
Sadness,Can't stand whn I get off that's when I'm WIDE AWAKE {O_O} .. 
Sadness,Getting sick during the night while having a beautiful sleep sucks ass!!! 
Neutral, How are you feeling ?
Fear,Getting shot don't scare me but getting cut scares me like a bitch 
Fear,"Girl I wanna tell you how you drive me crazy, how I think about you all the time, how I smile every time we talk.. But I can't.. "
Anger,I hate when you plan an outfit in your head and then you cannot find the article of clothing you really need #firstworldproblems
Surprise,lesson of the day: don't ever try to any member of my family -_-
Fear,"One day I was near home, kissing my boyfriend in a car when my mother appeared and asked me to go home, because she didn't know about the event."
Surprise,Time to figure out new years eve!  :)
Anger, Fine ! By the way would you mind not slurping your coffee every time you have a cup ! 
Fear,When my father was involved in an accident.
Joy,"A couple of years ago during the summer holiday, I was fishing at a lake with my husband.  Suddenly it started raining while the sun was still shining. I experienced a feeling of Joy, Joy and fulfillment.  the whole nature was full of music."
Joy,"finnally saw my cousin of long lostedness and now finnally working and seeing seth souza, anoter long lost one. "
Neutral, Which man ? 
Neutral, Yeah . 
Surprise,Husker den gangen jeg ikke var kul nok fordi jeg ikke hadde riktig tyggegummiholder og folk ikke ville snakke med meg. Ble sur. 
Neutral, Fine . 
Joy,I just shit my pants. Pure 100% gravy. 
Sadness,When my mother left for Kenya.
Joy,"Most boring,wasted day ever and now I have to motivate myself to wake up in the morning and go to work #sorryforcomplaining #blahblah"
Fear,&quot;prepare for the reality that counter terrorism is here to stay&quot;  #AreYouScared #GOPDebate
Anger,"khoya khoya chand khula aasman...... who and what is going to heal this pain of departing..highness,do you have an ans?  #hurt"
Surprise,Lot of things planned nw.   of a friend. visit and cake. #sunday #gettogether
Sadness,When my brother died.
Surprise,I love it when I look at my bank account and I have $150 more dollars than I did yesterday! #itspayday
Fear,If this happened they would be terror-stricken . 
Surprise,Half hour away from the love of my life and I come bearing a treat :-) 
Sadness,That akward moment when you get a text message from the girl that is talking to the boy that broke your heart! 
Neutral, I mean it ’ s not his fault . 
Joy,"Painted my room at @emkboyd's house, now it's time to rip up carpet and finish the hardwood. "
Joy,Another winner from Albert! &quot;It is the supreme art of the teacher to  in creative expression and knowledge.&quot; #Einstein #quote
Disgust,Mi primo kiere ligar con una bolsa de dulces de rapunsel en la mano 
Joy,When I won a trip to Greece in a competition.
Joy,When I received a letter of acceptance to CAL.
Fear,But her symbolic stance emerges at a time when there is considerable disquiet over the imaging of children . 
Fear,"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”"
Joy,Smh working on reviews allll day loll
Joy,"Christmas tree in place, Nutcracker on the stereo, and hot chocolate in our bellies. Time to decorate! "
Sadness,just got a random dose of missing someone....@katiemorario #chirpchirp
Joy,BIG TIME RUSH IS MY   &amp; 
Neutral, Why not ? 
Neutral, Oh no . 
Joy,"@mehnar My 2b in touch! On contrary, thank 4your kind Tw't! Ole&amp;Olé&amp;Olé! #cutnoart"
Surprise,"In the Spot about to rock the Mic for This Party  BDAY CC,  is here #bigboylove"
Anger,"A co-worker and I had to rush a project. I was only working there for one month and he for some years. Instead of letting me know that he wanted to do the project himself, he went to the superviser and let the superviser tell me to let the co-worker do it himself since he was quicker at it."
Joy,Now excuse me while I go read till like 1 in the morning.    of course I have to be a slow reader 
Disgust,I hate when people sneeze or cough &amp; don't cover up! 
Fear,"He listened soberly and with growing dismay to what the young bank officer from Jeddah had to say , and scanned the computer printouts across his desk with a practised eye . "
Joy,I noticed with amusement that the tapestries hanging there illustrated the seven deadly sins . 
Joy,"also, i forget what happened at open campus this week "
Sadness,"So when practice was over, I ran to the car all excited to show my dad my superb grade in geometry and he says do better "
Fear,Why is it so easy to like someone &amp; so difficult to tell em about it? 
Neutral, No idea . 
Joy,"Waiting for @frankeene so we can go and sing in the rain, "
Anger,It was a  to assault at  It will only serve to unleash more pent up  and the of an embattled #nation. #USA
Joy, How about a party at home ? That way we can get together and celebrate it . 
Joy,Got crap load of junk I think my feel are swollen 
Surprise,A special thanks goes out to the best daughter ever @NicoleWozniak for unpacking my suitcase for me at 430am 
Neutral," Hi , Joe . "
Disgust,"A statement was issued from Ibrox yesterday detailing the unsatisfactory nature of the dealings with Bernard Tapie 's club , while expressing regret that there was nothing more RAngers could do on behalf of their now disgruntled fans . "
Sadness,"I miss hanging out with AM, Lee and Jay. Those were good times. "
Joy,the vinyl collection is growing! :) 
Joy,Seeing both man united and man city crash out of champions league today has left a pretty big smile on my face 
Fear,When my mother was Anger with me over my friends and boyfriend.
Surprise,Hate d'etre déjà a  la semaine prochaine ! et #Bordel ds @Run_The_Track ! N'est-ce pas @DjDoubleFace ? ils vont kiffer tu pense ?
Joy,feeling great this morning.... 
Joy,When India won the Prudential cup by beating West-Indies in the final match and became the world cricket champion.  West-Indies was the strongest of the eight countries which participated in the competition.
Anger,After reading the sad story about the 3 yr old who was killed by his parents  #Sadness #tears
Joy,"Crafting and Hell Boy, not to mention getting my new phone today AND Newspaper Banquet with gorgeous dress.  #lml"
Joy,Finding out that I can go to your English lectures.
Anger,My younger brother and I had been fighting over the TV/Video. He kept on turning it on and off every 2 seconds and was not listening to my authority and was being cheeky. We fought and I ended up in tears - he'd won.
Surprise,"That moment when you're having sex and this huge, loud, random ass slap comes outta nowhere. . ."
Disgust,No lady starbucks is not your fucking living room so put your shoes back on and sit up in that chair 
Fear,The shrieks of terror coming from down the corridor as my flatmate plays are endlessly entertaining.
Anger,Friend (male) hinted that my talking to other men at a pub was immoral. He implied that I should remain only with my boyfriend the entire evening.
Fear,I was sleeping alone in the house at night. A boy putting on a short only knocked at the window whispering that I should open for him.
